type,ndcnum,Strength_Per_Unit,MME_Conversion_Factor
Codeine,00349211810,15,0.15
Codeine,00349232201,30,0.15
Codeine,00349232210,30,0.15
Codeine,00349232401,60,0.15
Codeine,00349232410,60,0.15
Codeine,00349886110,30,0.15
Codeine,00364032301,15,0.15
Codeine,00364032401,30,0.15
Codeine,00364032402,30,0.15
Codeine,00364052601,60,0.15
Codeine,00364052602,60,0.15
Codeine,00364720716,2.4,0.15
Codeine,00405000701,15,0.15
Codeine,00405000801,30,0.15
Codeine,00405000803,30,0.15
Codeine,00405000901,60,0.15
Codeine,00405000902,60,0.15
Codeine,00406048301,15,0.15
Codeine,00406048310,15,0.15
Codeine,00406048401,30,0.15
Codeine,00406048403,30,0.15
Codeine,00406048410,30,0.15
Codeine,00406048420,30,0.15
Codeine,00406048433,30,0.15
Codeine,00406048450,30,0.15
Codeine,00406048462,30,0.15
Codeine,00406048501,60,0.15
Codeine,00406048505,60,0.15
Codeine,00436018201,30,0.15
Codeine,00436018210,30,0.15
Codeine,00472141904,2.4,0.15
Codeine,00472141916,2.4,0.15
Codeine,00472141928,2.4,0.15
Codeine,00536008285,2.4,0.15
Codeine,00536321501,60,0.15
Codeine,00536321505,60,0.15
Codeine,00536322701,30,0.15
Codeine,00536322710,30,0.15
Codeine,00536322801,15,0.15
Codeine,00555030302,30,0.15
Codeine,00555030305,30,0.15
Codeine,00555030402,60,0.15
Codeine,00555030404,60,0.15
Codeine,00555030502,15,0.15
Codeine,00603233721,15,0.15
Codeine,00603233802,30,0.15
Codeine,00603233804,30,0.15
Codeine,00603233816,30,0.15
Codeine,00603233819,30,0.15
Codeine,00603233820,30,0.15
Codeine,00603233821,30,0.15
Codeine,00603233822,30,0.15
Codeine,00603233832,30,0.15
Codeine,00603233921,60,0.15
Codeine,00603233928,60,0.15
Codeine,00603901354,2.4,0.15
Codeine,00603901358,2.4,0.15
Codeine,00615043013,30,0.15
Codeine,00615043029,30,0.15
Codeine,00615043047,30,0.15
Codeine,00615043063,30,0.15
Codeine,00677061101,15,0.15
Codeine,00677061105,15,0.15
Codeine,00677061201,30,0.15
Codeine,00677061205,30,0.15
Codeine,00677061210,30,0.15
Codeine,00677063201,60,0.15
Codeine,00677063205,60,0.15
Codeine,00677171401,15,0.15
Codeine,00677171501,30,0.15
Codeine,00677171510,30,0.15
Codeine,00677171601,60,0.15
Codeine,00682080601,30,0.15
Codeine,00781165401,60,0.15
Codeine,00781165405,60,0.15
Codeine,00781175201,30,0.15
Codeine,00781175210,30,0.15
Codeine,00781175213,30,0.15
Codeine,00814024614,15,0.15
Codeine,00814024630,15,0.15
Codeine,00814024814,30,0.15
Codeine,00814024830,30,0.15
Codeine,00814025014,60,0.15
Codeine,00814025028,60,0.15
Codeine,00839624506,30,0.15
Codeine,00839624516,30,0.15
Codeine,00839649906,60,0.15
Codeine,00839649912,60,0.15
Codeine,00839671706,15,0.15
Codeine,00904017560,30,0.15
Codeine,00904017561,30,0.15
Codeine,00904017580,30,0.15
Codeine,00904057140,15,0.15
Codeine,00904057160,15,0.15
Codeine,00904057161,15,0.15
Codeine,00904057180,15,0.15
Codeine,00904391640,60,0.15
Codeine,00904391660,60,0.15
Codeine,00904391661,60,0.15
Codeine,10544030130,30,0.15
Codeine,11845036704,30,0.15
Codeine,11845036804,60,0.15
Codeine,13107005801,15,0.15
Codeine,13107005901,30,0.15
Codeine,13107005999,30,0.15
Codeine,13107006001,60,0.15
Codeine,13107006005,60,0.15
Codeine,13107006099,60,0.15
Codeine,16590002315,30,0.15
Codeine,21695024212,30,0.15
Codeine,21695024328,60,0.15
Codeine,21695054704,2.4,0.15
Codeine,23490500400,30,0.15
Codeine,23490500401,30,0.15
Codeine,23490500402,30,0.15
Codeine,23490500403,30,0.15
Codeine,23490500404,30,0.15
Codeine,23490500405,30,0.15
Codeine,23490500406,30,0.15
Codeine,23490500407,30,0.15
Codeine,23490500408,30,0.15
Codeine,23490500409,30,0.15
Codeine,23490500500,60,0.15
Codeine,23490500501,60,0.15
Codeine,23490500502,60,0.15
Codeine,23490500503,60,0.15
Codeine,23490796901,2.4,0.15
Codeine,33358000101,30,0.15
Codeine,33358000260,60,0.15
Codeine,43063001403,30,0.15
Codeine,43063001404,30,0.15
Codeine,43063001406,30,0.15
Codeine,43063001412,30,0.15
Codeine,43063055406,30,0.15
Codeine,43063055410,30,0.15
Codeine,43063055412,30,0.15
Codeine,43063055415,30,0.15
Codeine,43063055418,30,0.15
Codeine,43063055420,30,0.15
Codeine,43063055424,30,0.15
Codeine,43063055425,30,0.15
Codeine,43063055428,30,0.15
Codeine,43063055430,30,0.15
Codeine,43063055460,30,0.15
Codeine,43063055490,30,0.15
Codeine,43063055498,30,0.15
Codeine,43797035206,30,0.15
Codeine,45985062501,30,0.15
Codeine,49999002601,60,0.15
Codeine,49999002630,60,0.15
Codeine,49999002640,60,0.15
Codeine,49999002660,60,0.15
Codeine,49999002690,60,0.15
Codeine,49999006000,30,0.15
Codeine,49999006001,30,0.15
Codeine,49999006010,30,0.15
Codeine,49999006012,30,0.15
Codeine,49999006015,30,0.15
Codeine,49999006020,30,0.15
Codeine,49999006030,30,0.15
Codeine,49999006050,30,0.15
Codeine,49999006060,30,0.15
Codeine,49999006090,30,0.15
Codeine,50383007906,2.4,0.15
Codeine,50383007913,2.4,0.15
Codeine,50383007916,2.4,0.15
Codeine,50458051360,30,0.15
Codeine,50458051380,30,0.15
Codeine,50458051560,60,0.15
Codeine,50458051570,60,0.15
Codeine,50991031201,60,0.15
Codeine,50991031601,30,0.15
Codeine,51079010620,60,0.15
Codeine,51079010621,60,0.15
Codeine,51079016120,30,0.15
Codeine,51079016121,30,0.15
Codeine,51079016124,30,0.15
Codeine,51079016199,30,0.15
Codeine,51285030202,15,0.15
Codeine,51285030302,30,0.15
Codeine,51285030305,30,0.15
Codeine,51285030402,60,0.15
Codeine,51285030404,60,0.15
Codeine,51285060002,15,0.15
Codeine,51285060102,30,0.15
Codeine,51285060105,30,0.15
Codeine,51285060202,60,0.15
Codeine,51285060204,60,0.15
Codeine,51655080224,30,0.15
Codeine,51655080254,30,0.15
Codeine,51655081624,60,0.15
Codeine,51655081654,60,0.15
Codeine,52544085001,15,0.15
Codeine,52544085101,30,0.15
Codeine,52544085110,30,0.15
Codeine,52544085201,60,0.15
Codeine,52544085205,60,0.15
Codeine,52959000300,30,0.15
Codeine,52959000302,30,0.15
Codeine,52959000304,30,0.15
Codeine,52959000306,30,0.15
Codeine,52959000310,30,0.15
Codeine,52959000312,30,0.15
Codeine,52959000315,30,0.15
Codeine,52959000316,30,0.15
Codeine,52959000320,30,0.15
Codeine,52959000324,30,0.15
Codeine,52959000325,30,0.15
Codeine,52959000328,30,0.15
Codeine,52959000330,30,0.15
Codeine,52959000340,30,0.15
Codeine,52959000342,30,0.15
Codeine,52959000345,30,0.15
Codeine,52959000350,30,0.15
Codeine,52959000360,30,0.15
Codeine,52959000375,30,0.15
Codeine,52959000384,30,0.15
Codeine,52959000390,30,0.15
Codeine,52959020815,15,0.15
Codeine,52959020830,15,0.15
Codeine,52959044600,60,0.15
Codeine,52959044602,60,0.15
Codeine,52959044620,60,0.15
Codeine,52959044624,60,0.15
Codeine,52959044630,60,0.15
Codeine,52959044650,60,0.15
Codeine,52959044660,60,0.15
Codeine,52959044690,60,0.15
Codeine,53265028503,30,0.15
Codeine,53265028510,30,0.15
Codeine,53265028511,30,0.15
Codeine,53265028550,30,0.15
Codeine,53265028610,60,0.15
Codeine,53265028611,60,0.15
Codeine,53265028650,60,0.15
Codeine,53489015901,15,0.15
Codeine,53489015905,15,0.15
Codeine,53489016001,30,0.15
Codeine,53489016005,30,0.15
Codeine,53489016010,30,0.15
Codeine,53489016101,60,0.15
Codeine,53489016105,60,0.15
Codeine,54569002402,30,0.15
Codeine,54569002500,30,0.15
Codeine,54569002501,30,0.15
Codeine,54569002502,30,0.15
Codeine,54569002503,30,0.15
Codeine,54569002504,30,0.15
Codeine,54569002505,30,0.15
Codeine,54569002506,30,0.15
Codeine,54569002507,30,0.15
Codeine,54569002508,30,0.15
Codeine,54569002509,30,0.15
Codeine,54569030200,60,0.15
Codeine,54569030201,60,0.15
Codeine,54569030202,60,0.15
Codeine,54569030203,60,0.15
Codeine,54569030204,60,0.15
Codeine,54569030206,60,0.15
Codeine,54569030207,60,0.15
Codeine,54569030208,60,0.15
Codeine,54569031100,15,0.15
Codeine,54569031102,15,0.15
Codeine,54569031103,15,0.15
Codeine,54569100100,2.4,0.15
Codeine,54569252300,30,0.15
Codeine,54569252301,30,0.15
Codeine,54569252302,30,0.15
Codeine,54569252303,30,0.15
Codeine,54569252304,30,0.15
Codeine,54569252306,30,0.15
Codeine,54569252307,30,0.15
Codeine,54569500702,30,0.15
Codeine,54868007200,30,0.15
Codeine,54868007201,30,0.15
Codeine,54868007202,30,0.15
Codeine,54868007203,30,0.15
Codeine,54868007204,30,0.15
Codeine,54868007205,30,0.15
Codeine,54868007207,30,0.15
Codeine,54868007208,30,0.15
Codeine,54868007209,30,0.15
Codeine,54868028500,30,0.15
Codeine,54868086000,60,0.15
Codeine,54868086001,60,0.15
Codeine,54868213001,15,0.15
Codeine,55045111201,30,0.15
Codeine,55045111208,30,0.15
Codeine,55045111209,30,0.15
Codeine,55045158005,15,0.15
Codeine,55045158008,15,0.15
Codeine,55045189700,60,0.15
Codeine,55045189701,60,0.15
Codeine,55045189707,60,0.15
Codeine,55045285306,30,0.15
Codeine,55045285309,30,0.15
Codeine,55045309401,30,0.15
Codeine,55045335705,60,0.15
Codeine,55175294300,30,0.15
Codeine,55175294301,30,0.15
Codeine,55175294302,30,0.15
Codeine,55175294303,30,0.15
Codeine,55175294304,30,0.15
Codeine,55175294305,30,0.15
Codeine,55175294306,30,0.15
Codeine,55175294307,30,0.15
Codeine,55175294308,30,0.15
Codeine,55175294309,30,0.15
Codeine,55289000506,30,0.15
Codeine,55289000510,30,0.15
Codeine,55289000512,30,0.15
Codeine,55289000515,30,0.15
Codeine,55289000518,30,0.15
Codeine,55289000520,30,0.15
Codeine,55289000524,30,0.15
Codeine,55289000525,30,0.15
Codeine,55289000530,30,0.15
Codeine,55289000560,30,0.15
Codeine,55289000590,30,0.15
Codeine,55289000597,30,0.15
Codeine,55289000598,30,0.15
Codeine,55289004815,30,0.15
Codeine,55289044915,15,0.15
Codeine,55289044930,15,0.15
Codeine,55289091620,60,0.15
Codeine,55289091630,60,0.15
Codeine,55289091690,60,0.15
Codeine,55370034148,2.4,0.15
Codeine,55829080110,30,0.15
Codeine,55829080210,60,0.15
Codeine,55887028730,15,0.15
Codeine,55887028760,15,0.15
Codeine,55887028790,15,0.15
Codeine,55887030930,60,0.15
Codeine,55887030940,60,0.15
Codeine,55887030960,60,0.15
Codeine,55887075604,2.4,0.15
Codeine,55887095110,30,0.15
Codeine,55887095112,30,0.15
Codeine,55887095115,30,0.15
Codeine,55887095116,30,0.15
Codeine,55887095120,30,0.15
Codeine,55887095130,30,0.15
Codeine,55887095140,30,0.15
Codeine,55887095160,30,0.15
Codeine,55887095190,30,0.15
Codeine,57480050001,30,0.15
Codeine,57480050006,30,0.15
Codeine,57866322601,60,0.15
Codeine,57866322701,30,0.15
Codeine,57866322702,30,0.15
Codeine,57866322703,30,0.15
Codeine,57866322706,30,0.15
Codeine,57866322707,30,0.15
Codeine,57866322708,30,0.15
Codeine,58016006200,60,0.15
Codeine,58016006230,60,0.15
Codeine,58016006260,60,0.15
Codeine,58016006290,60,0.15
Codeine,58016025606,30,0.15
Codeine,58016026900,15,0.15
Codeine,58016026912,15,0.15
Codeine,58016026915,15,0.15
Codeine,58016026920,15,0.15
Codeine,58016026924,15,0.15
Codeine,58016026930,15,0.15
Codeine,58016027100,30,0.15
Codeine,58016027102,30,0.15
Codeine,58016027104,30,0.15
Codeine,58016027106,30,0.15
Codeine,58016027108,30,0.15
Codeine,58016027110,30,0.15
Codeine,58016027112,30,0.15
Codeine,58016027114,30,0.15
Codeine,58016027115,30,0.15
Codeine,58016027116,30,0.15
Codeine,58016027118,30,0.15
Codeine,58016027120,30,0.15
Codeine,58016027124,30,0.15
Codeine,58016027125,30,0.15
Codeine,58016027128,30,0.15
Codeine,58016027130,30,0.15
Codeine,58016027140,30,0.15
Codeine,58016027142,30,0.15
Codeine,58016027145,30,0.15
Codeine,58016027150,30,0.15
Codeine,58016027156,30,0.15
Codeine,58016027160,30,0.15
Codeine,58016027184,30,0.15
Codeine,58016027190,30,0.15
Codeine,58016027200,60,0.15
Codeine,58016027202,60,0.15
Codeine,58016027208,60,0.15
Codeine,58016027210,60,0.15
Codeine,58016027212,60,0.15
Codeine,58016027215,60,0.15
Codeine,58016027220,60,0.15
Codeine,58016027228,60,0.15
Codeine,58016027230,60,0.15
Codeine,58016027240,60,0.15
Codeine,58016027250,60,0.15
Codeine,58016027256,60,0.15
Codeine,58016027260,60,0.15
Codeine,58016027284,60,0.15
Codeine,58016027290,60,0.15
Codeine,58016559801,2.4,0.15
Codeine,58345080065,30,0.15
Codeine,58864000415,30,0.15
Codeine,60346001510,15,0.15
Codeine,60346001512,15,0.15
Codeine,60346001515,15,0.15
Codeine,60346001530,15,0.15
Codeine,60429050030,30,0.15
Codeine,60429050060,30,0.15
Codeine,60429050090,30,0.15
Codeine,60760002215,30,0.15
Codeine,60760002230,30,0.15
Codeine,60809050655,30,0.15
Codeine,60809050672,30,0.15
Codeine,62037052201,30,0.15
Codeine,62037052210,30,0.15
Codeine,62037052301,60,0.15
Codeine,62037052305,60,0.15
Codeine,63304056101,60,0.15
Codeine,63304056105,60,0.15
Codeine,63304056201,30,0.15
Codeine,63304056205,30,0.15
Codeine,63304056210,30,0.15
Codeine,63739000401,30,0.15
Codeine,63739000403,30,0.15
Codeine,63739000410,30,0.15
Codeine,63739000415,30,0.15
Codeine,63874020201,30,0.15
Codeine,63874020202,30,0.15
Codeine,63874020204,30,0.15
Codeine,63874020205,30,0.15
Codeine,63874020206,30,0.15
Codeine,63874020208,30,0.15
Codeine,63874020210,30,0.15
Codeine,63874020212,30,0.15
Codeine,63874020214,30,0.15
Codeine,63874020215,30,0.15
Codeine,63874020216,30,0.15
Codeine,63874020218,30,0.15
Codeine,63874020220,30,0.15
Codeine,63874020224,30,0.15
Codeine,63874020225,30,0.15
Codeine,63874020228,30,0.15
Codeine,63874020230,30,0.15
Codeine,63874020240,30,0.15
Codeine,63874020242,30,0.15
Codeine,63874020250,30,0.15
Codeine,63874020260,30,0.15
Codeine,63874020290,30,0.15
Codeine,63874025901,15,0.15
Codeine,63874025902,15,0.15
Codeine,63874025904,15,0.15
Codeine,63874025912,15,0.15
Codeine,63874025915,15,0.15
Codeine,63874025920,15,0.15
Codeine,63874025924,15,0.15
Codeine,63874025930,15,0.15
Codeine,63874025960,15,0.15
Codeine,63874026648,2.4,0.15
Codeine,63874026701,60,0.15
Codeine,63874026702,60,0.15
Codeine,63874026703,60,0.15
Codeine,63874026704,60,0.15
Codeine,63874026705,60,0.15
Codeine,63874026708,60,0.15
Codeine,63874026710,60,0.15
Codeine,63874026712,60,0.15
Codeine,63874026715,60,0.15
Codeine,63874026720,60,0.15
Codeine,63874026728,60,0.15
Codeine,63874026730,60,0.15
Codeine,63874026740,60,0.15
Codeine,63874026750,60,0.15
Codeine,63874026760,60,0.15
Codeine,63874026790,60,0.15
Codeine,64720030410,30,0.15
Codeine,64720030411,30,0.15
Codeine,64720030450,30,0.15
Codeine,64720030510,60,0.15
Codeine,65162003310,30,0.15
Codeine,65162003311,30,0.15
Codeine,65162003350,30,0.15
Codeine,65234004616,2.4,0.15
Codeine,66267000106,30,0.15
Codeine,66267000110,30,0.15
Codeine,66267000112,30,0.15
Codeine,66267000115,30,0.15
Codeine,66267000120,30,0.15
Codeine,66267000124,30,0.15
Codeine,66267000130,30,0.15
Codeine,66267000140,30,0.15
Codeine,66267000160,30,0.15
Codeine,66267000190,30,0.15
Codeine,66267000191,30,0.15
Codeine,66267000220,60,0.15
Codeine,66267000230,60,0.15
Codeine,66267000260,60,0.15
Codeine,66267022130,15,0.15
Codeine,66267100500,60,0.15
Codeine,66336005906,30,0.15
Codeine,66336005910,30,0.15
Codeine,66336005912,30,0.15
Codeine,66336005915,30,0.15
Codeine,66336005920,30,0.15
Codeine,66336005930,30,0.15
Codeine,66336005960,30,0.15
Codeine,66336005990,30,0.15
Codeine,66336063230,60,0.15
Codeine,66813092201,30,0.15
Codeine,68084037201,30,0.15
Codeine,68084037301,60,0.15
Codeine,68115000100,30,0.15
Codeine,68115000112,30,0.15
Codeine,68115000115,30,0.15
Codeine,68115000120,30,0.15
Codeine,68115000130,30,0.15
Codeine,68115000140,30,0.15
Codeine,68115000142,30,0.15
Codeine,68115000160,30,0.15
Codeine,68115000190,30,0.15
Codeine,68115000199,30,0.15
Codeine,68115000200,60,0.15
Codeine,68115000230,60,0.15
Codeine,68115000260,60,0.15
Codeine,68115043230,15,0.15
Codeine,00078024305,30,0.15
Codeine,00143300001,30,0.15
Codeine,00182269301,30,0.15
Codeine,00187084301,30,0.15
Codeine,00591264101,30,0.15
Codeine,00591322001,30,0.15
Codeine,00603255221,30,0.15
Codeine,00603255321,30,0.15
Codeine,12280017800,30,0.15
Codeine,21695025828,30,0.15
Codeine,51991007301,30,0.15
Codeine,52544008201,30,0.15
Codeine,52544095801,30,0.15
Codeine,52959091260,30,0.15
Codeine,53265024010,30,0.15
Codeine,54868331700,30,0.15
Codeine,54868516200,30,0.15
Codeine,57866393801,30,0.15
Codeine,58016009300,30,0.15
Codeine,58016009330,30,0.15
Codeine,58016009360,30,0.15
Codeine,58016009390,30,0.15
Codeine,58016049300,30,0.15
Codeine,58016049302,30,0.15
Codeine,58016049330,30,0.15
Codeine,58016049360,30,0.15
Codeine,58016049390,30,0.15
Codeine,65234006110,30,0.15
Codeine,00047011424,30,0.15
Codeine,00078010705,30,0.15
Codeine,00078010713,30,0.15
Codeine,00182003601,30,0.15
Codeine,00527131201,30,0.15
Codeine,00536575401,30,0.15
Codeine,00591042501,30,0.15
Codeine,00591042505,30,0.15
Codeine,00591354601,30,0.15
Codeine,00591354605,30,0.15
Codeine,00603254921,30,0.15
Codeine,00781222101,30,0.15
Codeine,00904514060,30,0.15
Codeine,23490682503,30,0.15
Codeine,51285068402,30,0.15
Codeine,51991007401,30,0.15
Codeine,51991007405,30,0.15
Codeine,52544042501,30,0.15
Codeine,52544042505,30,0.15
Codeine,52544095601,30,0.15
Codeine,52959086500,30,0.15
Codeine,52959086530,30,0.15
Codeine,54868053000,30,0.15
Codeine,54868053002,30,0.15
Codeine,54868053003,30,0.15
Codeine,54868053004,30,0.15
Codeine,54868103701,30,0.15
Codeine,54868103703,30,0.15
Codeine,55289002620,30,0.15
Codeine,58016009100,30,0.15
Codeine,58016009130,30,0.15
Codeine,58016009160,30,0.15
Codeine,58016009190,30,0.15
Codeine,60951067570,30,0.15
Codeine,63629295201,30,0.15
Codeine,63874021901,30,0.15
Codeine,63874021920,30,0.15
Codeine,63874021925,30,0.15
Codeine,63874021930,30,0.15
Codeine,66267003815,30,0.15
Codeine,66336031430,30,0.15
Codeine,68115005700,30,0.15
Codeine,68308031210,30,0.15
Codeine,00037240301,16,0.15
Codeine,00185074901,16,0.15
Codeine,00185074905,16,0.15
Codeine,00185074910,16,0.15
Codeine,00603258421,16,0.15
Codeine,52152013802,16,0.15
Codeine,52959086800,16,0.15
Codeine,52959086860,16,0.15
Codeine,52959086890,16,0.15
Codeine,55289047220,16,0.15
Codeine,58016019900,16,0.15
Codeine,58016019902,16,0.15
Codeine,58016019903,16,0.15
Codeine,58016019920,16,0.15
Codeine,58016019930,16,0.15
Codeine,58016019940,16,0.15
Codeine,58016019960,16,0.15
Codeine,58016019989,16,0.15
Codeine,58016019990,16,0.15
Codeine,58016019999,16,0.15
Codeine,64980017601,16,0.15
Codeine,00081022555,60,0.15
Codeine,00081022570,60,0.15
Codeine,00172398460,30,0.15
Codeine,00172398480,30,0.15
Codeine,00172398560,60,0.15
Codeine,00172398570,60,0.15
Codeine,00182122501,30,0.15
Codeine,00182122601,60,0.15
Codeine,00254212028,30,0.15
Codeine,00254212128,60,0.15
Codeine,00349408201,30,0.15
Codeine,00349408210,30,0.15
Codeine,00349833701,60,0.15
Codeine,00349833710,60,0.15
Codeine,00364054001,30,0.15
Codeine,00364054101,60,0.15
Codeine,00405002101,30,0.15
Codeine,00405002201,60,0.15
Codeine,00536332801,30,0.15
Codeine,00536332805,30,0.15
Codeine,00536332901,60,0.15
Codeine,00603236121,30,0.15
Codeine,00603236132,30,0.15
Codeine,00603236221,60,0.15
Codeine,00677064701,30,0.15
Codeine,00677067601,60,0.15
Codeine,00781166001,30,0.15
Codeine,00781166005,30,0.15
Codeine,00781187501,60,0.15
Codeine,00814092514,15,0.15
Codeine,00814092614,30,0.15
Codeine,00814092714,60,0.15
Codeine,00839643506,30,0.15
Codeine,00839643516,30,0.15
Codeine,00839677606,60,0.15
Codeine,00839785706,30,0.15
Codeine,00839785806,60,0.15
Codeine,00904390060,30,0.15
Codeine,00904390080,30,0.15
Codeine,00904390740,60,0.15
Codeine,00904390760,60,0.15
Codeine,51655081724,30,0.15
Codeine,51655081754,30,0.15
Codeine,51655081824,60,0.15
Codeine,51655081854,60,0.15
Codeine,52555033301,30,0.15
Codeine,52555033310,30,0.15
Codeine,52555033401,60,0.15
Codeine,54569028002,60,0.15
Codeine,54569030000,30,0.15
Codeine,54569030001,30,0.15
Codeine,54569030002,30,0.15
Codeine,55289033115,30,0.15
Codeine,58016022600,30,0.15
Codeine,58016022615,30,0.15
Codeine,58016022620,30,0.15
Codeine,58016022624,30,0.15
Codeine,58016022630,30,0.15
Codeine,58016022700,60,0.15
Codeine,60346056012,30,0.15
Codeine,60346056015,30,0.15
Codeine,60346056020,30,0.15
Codeine,60346056025,30,0.15
Codeine,60346056030,30,0.15
Codeine,60346093600,60,0.15
Codeine,63874021701,30,0.15
Codeine,63874021712,30,0.15
Codeine,63874021715,30,0.15
Codeine,63874021720,30,0.15
Codeine,63874021724,30,0.15
Codeine,63874021730,30,0.15
Codeine,63874021801,60,0.15
Codeine,63874021812,60,0.15
Codeine,63874021815,60,0.15
Codeine,63874021820,60,0.15
Codeine,63874021830,60,0.15
Codeine,00002255702,30,0.15
Codeine,00002255802,60,0.15
Codeine,00054316163,3,0.15
Codeine,00054816016,3,0.15
Codeine,00002101002,30,0.15
Codeine,00002101102,60,0.15
Codeine,00044062302,30,0.15
Codeine,00044062602,60,0.15
Codeine,00054024324,15,0.15
Codeine,00054024424,30,0.15
Codeine,00054024425,30,0.15
Codeine,00054024525,60,0.15
Codeine,00054415625,30,0.15
Codeine,00054415725,60,0.15
Codeine,00054815524,15,0.15
Codeine,00054815624,30,0.15
Codeine,00054815724,60,0.15
Codeine,00527169801,30,0.15
Codeine,00527169891,30,0.15
Codeine,00527169901,60,0.15
Codeine,51224030010,6,0.15
Codeine,54868254100,60,0.15
Codeine,54868254101,60,0.15
Codeine,54868254102,60,0.15
Codeine,67253035010,30,0.15
Codeine,67253035110,60,0.15
Codeine,68094076059,6,0.15
Codeine,68094076062,6,0.15
Codeine,68094076159,6,0.15
Codeine,68094076162,6,0.15
Codeine,68462019301,30,0.15
Codeine,68462019401,60,0.15
Dihydrocodeine,68047072001,16,0.25
Dihydrocodeine,00034800080,16,0.25
Dihydrocodeine,00525001601,16,0.25
Dihydrocodeine,00525003201,32,0.25
Dihydrocodeine,00525003205,32,0.25
Dihydrocodeine,00525003210,32,0.25
Dihydrocodeine,13517013001,16,0.25
Dihydrocodeine,18011003201,32,0.25
Dihydrocodeine,42195084010,16,0.25
Dihydrocodeine,54569497900,16,0.25
Dihydrocodeine,54868277500,16,0.25
Dihydrocodeine,54868559400,32,0.25
Dihydrocodeine,55175210705,16,0.25
Dihydrocodeine,64376061101,32,0.25
Dihydrocodeine,64376061131,32,0.25
Dihydrocodeine,66992034010,16,0.25
Dihydrocodeine,66992084010,16,0.25
Dihydrocodeine,00008419101,16,0.25
Dihydrocodeine,00008419102,16,0.25
Dihydrocodeine,10551041910,16,0.25
Dihydrocodeine,49708041988,16,0.25
Dihydrocodeine,55289033915,16,0.25
Dihydrocodeine,57664041988,16,0.25
Dihydrocodeine,58016026216,16,0.25
Dihydrocodeine,64248041910,16,0.25
Dihydrocodeine,64248041912,16,0.25
Hydrocodone,43376021010,10,1
Hydrocodone,43376021510,15,1
Hydrocodone,43376022010,20,1
Hydrocodone,43376023010,30,1
Hydrocodone,43376024010,40,1
Hydrocodone,43376025010,50,1
Hydrocodone,43376031060,10,1
Hydrocodone,43376031560,15,1
Hydrocodone,43376032060,20,1
Hydrocodone,43376033060,30,1
Hydrocodone,43376034060,40,1
Hydrocodone,43376035060,50,1
Hydrocodone,59011027160,20,1
Hydrocodone,59011027260,30,1
Hydrocodone,59011027360,40,1
Hydrocodone,59011027460,60,1
Hydrocodone,59011027560,80,1
Hydrocodone,59011027660,100,1
Hydrocodone,59011027760,120,1
Hydrocodone,65224031060,10,1
Hydrocodone,65224031560,15,1
Hydrocodone,65224032060,20,1
Hydrocodone,65224033060,30,1
Hydrocodone,65224034060,40,1
Hydrocodone,65224035060,50,1
Hydrocodone,00121477240,0.5,1
Hydrocodone,00121154410,0.5,1
Hydrocodone,00121154440,0.5,1
Hydrocodone,00406037801,10,1
Hydrocodone,00406037805,10,1
Hydrocodone,43386035301,10,1
Hydrocodone,43386035305,10,1
Hydrocodone,65162069610,10,1
Hydrocodone,65162069650,10,1
Hydrocodone,00406037601,5,1
Hydrocodone,00406037605,5,1
